"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","3511248899.71759","3663017699.61605","4174634520.35486","5337266687.57742","6179176459.36434","6565043459.50021","7027863025.13664","8158257571.77422","9748276762.24466","9699586794.44956","9535344283.47295","10693321953.6355","11141358945.1349","12517845732.2095","13284528654.0574","11388160958.249","11821066152.5979","12701656930.6889","14250985958.6727","14390709094.9386","",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","2956746304.20757","3190371050.45524","3622350203.94595","4740768355.22974","5451688868.42974","6146352742.03313","6547420133.69942","7625723123.54939","9451436358.96861","9450697335.53565","10109618964.2848","12080296644.0643","12561016091.4673","13444301139.1384","13943016923.9017","11832159275.603","12833363370.174","14106956830.0857","16059910870.6239","15990803569.9961","",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355749482.478","149990451022.29","172885454931.453","195078678697.23","221415188000.475","249711027660.253","274039092455.306","302571254131.135","",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","13245833843.5454","14183497963.1071","16402846413.0958","21144983551.6823","26157894736.8421","29869283400.0381","34379808888.6039","44405101469.5591","54438966419.8639","52023504656.2878","50381825504.2642","57386216850.3377","54033250328.5151","55615397665.5809","56901994980.3283","50647442756.7445","53806894796.3801","58971520599.2509","66230155099.5775","68558815111.6199","",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","9062898936.17021","8976196808.51064","9593510638.29787","11074813829.7872","13150159574.4681","15968723404.2553","18504760638.2979","21730000000","25710904255.3191","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539468085.1064","33387712765.9574","31050638297.8723","32234973404.2553","35473776595.7447","37652500000","38574069148.9362","",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720500000","10568400000","11111600000","11710800000","11928500000","12490700000","13022100000","13578800000","",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","5505887894.48893","5748993411.42021","6651106833.49374","8369878822.85055","10596205714.2857","11222953519.4252","12864610993.5219","15778767669.6991","19112739664.4697","17613836209.9581","17176781336.7644","18644723860.9709","17226849297.07","18178503835.4491","18558343508.3435","16211541820.2438","16913330693.9653","18080118128.3854","20183510561.2553","20164193806.88","",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","12736856827.9847","12354820143.8849","14594249022.8922","17827791321.3067","23144351851.8519","30207567316.6202","36954312354.3124","45277399813.6067","60763483146.0674","50874078052.2735","57222490768.7143","61757788944.7236","65685102554.8759","75527984234.2342","78813839984.3506","56454734396.5842","47722657820.6675","54726595249.1849","60031262269.3365","63080457022.6599","",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","832050000","868350000","925050000","983500000","1051350000","1102050000","1210150000","1271600000","1351350000","1317300000","1377200000","1460800000","1522900000","1579400000","1662800000","1723800000","1775100000","1836600000","1871200000","1879613600","",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","6144000000","6767000000","6980000000","6656000000","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7224329000","7484113000","",
