"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","2019",
"Fragile and conflict affected situations","FCS","GDP (current US$)","NY.GDP.MKTP.CD","1748172226307.84",
"Finland","FIN","GDP (current US$)","NY.GDP.MKTP.CD","268761201364.705",
"Fiji","FJI","GDP (current US$)","NY.GDP.MKTP.CD","5535548972.41252",
"France","FRA","GDP (current US$)","NY.GDP.MKTP.CD","2715518274227.45",
"Faroe Islands","FRO","GDP (current US$)","NY.GDP.MKTP.CD","",
"Micronesia, Fed. Sts.","FSM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Gabon","GAB","GDP (current US$)","NY.GDP.MKTP.CD","16657960228.0892",
"United Kingdom","GBR","GDP (current US$)","NY.GDP.MKTP.CD","2827113184695.58",
"Georgia","GEO","GDP (current US$)","NY.GDP.MKTP.CD","17743195770.1998",
"Ghana","GHA","GDP (current US$)","NY.GDP.MKTP.CD","66983634223.943",
"Gibraltar","GIB","GDP (current US$)","NY.GDP.MKTP.CD","",
"Guinea","GIN","GDP (current US$)","NY.GDP.MKTP.CD","13590281808.6928",
"Gambia, The","GMB","GDP (current US$)","NY.GDP.MKTP.CD","1763819047.69838",
"Guinea-Bissau","GNB","GDP (current US$)","NY.GDP.MKTP.CD","1340389410.76003",
"Equatorial Guinea","GNQ","GDP (current US$)","NY.GDP.MKTP.CD","11026774945.3415",
"Greece","GRC","GDP (current US$)","NY.GDP.MKTP.CD","209852761468.681",
"Grenada","GRD","GDP (current US$)","NY.GDP.MKTP.CD","1228170370.37037",
"Greenland","GRL","GDP (current US$)","NY.GDP.MKTP.CD","",
"Guatemala","GTM","GDP (current US$)","NY.GDP.MKTP.CD","76710385879.6627",
"Guam","GUM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Guyana","GUY","GDP (current US$)","NY.GDP.MKTP.CD","4280443645.08393",
"High income","HIC","GDP (current US$)","NY.GDP.MKTP.CD","55045371946278.3",
"Hong Kong SAR, China","HKG","GDP (current US$)","NY.GDP.MKTP.CD","366029556273.051",
"Honduras","HND","GDP (current US$)","NY.GDP.MKTP.CD","25095395475.0393",
"Heavily indebted poor countries (HIPC)","HPC","GDP (current US$)","NY.GDP.MKTP.CD","759266600603.65",
"Croatia","HRV","GDP (current US$)","NY.GDP.MKTP.CD","60415553038.8826",
"Haiti","HTI","GDP (current US$)","NY.GDP.MKTP.CD","8498981820.87012",
"Hungary","HUN","GDP (current US$)","NY.GDP.MKTP.CD","160967157503.612",
"IBRD only","IBD","GDP (current US$)","NY.GDP.MKTP.CD","31618204428931.7",
"IDA & IBRD total","IBT","GDP (current US$)","NY.GDP.MKTP.CD","33912132433932.9",
"IDA total","IDA","GDP (current US$)","NY.GDP.MKTP.CD","2301372398524.79",
"IDA blend","IDB","GDP (current US$)","NY.GDP.MKTP.CD","989721112790.581",
"Indonesia","IDN","GDP (current US$)","NY.GDP.MKTP.CD","1119190780752.8",
"IDA only","IDX","GDP (current US$)","NY.GDP.MKTP.CD","1315248865134.09",
"Isle of Man","IMN","GDP (current US$)","NY.GDP.MKTP.CD","",
"India","IND","GDP (current US$)","NY.GDP.MKTP.CD","2875142314811.85",
"Not classified","INX","GDP (current US$)","NY.GDP.MKTP.CD","",
"Ireland","IRL","GDP (current US$)","NY.GDP.MKTP.CD","388698711348.156",
"Iran, Islamic Rep.","IRN","GDP (current US$)","NY.GDP.MKTP.CD","",
"Iraq","IRQ","GDP (current US$)","NY.GDP.MKTP.CD","234094042938.917",
"Iceland","ISL","GDP (current US$)","NY.GDP.MKTP.CD","24188035738.7846",
"Israel","ISR","GDP (current US$)","NY.GDP.MKTP.CD","395098666121.616",
"Italy","ITA","GDP (current US$)","NY.GDP.MKTP.CD","2001244392041.57",
"Jamaica","JAM","GDP (current US$)","NY.GDP.MKTP.CD","16458071067.8176",
"Jordan","JOR","GDP (current US$)","NY.GDP.MKTP.CD","43743661971.831",
"Japan","JPN","GDP (current US$)","NY.GDP.MKTP.CD","5081769542379.77",
"Kazakhstan","KAZ","GDP (current US$)","NY.GDP.MKTP.CD","180161741180.147",
"Kenya","KEN","GDP (current US$)","NY.GDP.MKTP.CD","95503088538.092",
"Kyrgyz Republic","KGZ","GDP (current US$)","NY.GDP.MKTP.CD","8454619607.81795",
"Cambodia","KHM","GDP (current US$)","NY.GDP.MKTP.CD","27089389786.9684",
"Kiribati","KIR","GDP (current US$)","NY.GDP.MKTP.CD","194647201.946472",
"St. Kitts and Nevis","KNA","GDP (current US$)","NY.GDP.MKTP.CD","1050992592.59259",
"Korea, Rep.","KOR","GDP (current US$)","NY.GDP.MKTP.CD","1642383217167.26",
"Kuwait","KWT","GDP (current US$)","NY.GDP.MKTP.CD","134761198945.982",
"Latin America & Caribbean (excluding high income)","LAC","GDP (current US$)","NY.GDP.MKTP.CD","5136327518155.87",
"Lao PDR","LAO","GDP (current US$)","NY.GDP.MKTP.CD","18173839128.2699",
"Lebanon","LBN","GDP (current US$)","NY.GDP.MKTP.CD","53367042272.1725",
"Liberia","LBR","GDP (current US$)","NY.GDP.MKTP.CD","3070518100",
"Libya","LBY","GDP (current US$)","NY.GDP.MKTP.CD","52076250947.5792",
"St. Lucia","LCA","GDP (current US$)","NY.GDP.MKTP.CD","2122450629.62963",
"Latin America & Caribbean","LCN","GDP (current US$)","NY.GDP.MKTP.CD","5719252824663.02",
"Least developed countries: UN classification","LDC","GDP (current US$)","NY.GDP.MKTP.CD","1105397168763.63",
"Low income","LIC","GDP (current US$)","NY.GDP.MKTP.CD","521273843020.466",
"Liechtenstein","LIE","GDP (current US$)","NY.GDP.MKTP.CD","",
"Sri Lanka","LKA","GDP (current US$)","NY.GDP.MKTP.CD","84008783756.068",
"Lower middle income","LMC","GDP (current US$)","NY.GDP.MKTP.CD","6341105055559.54",
"Low & middle income","LMY","GDP (current US$)","NY.GDP.MKTP.CD","32705773165069.7",
"Lesotho","LSO","GDP (current US$)","NY.GDP.MKTP.CD","2460072443.62842",
"Late-demographic dividend","LTE","GDP (current US$)","NY.GDP.MKTP.CD","22985816197741.2",
"Lithuania","LTU","GDP (current US$)","NY.GDP.MKTP.CD","54219315600.0854",
"Luxembourg","LUX","GDP (current US$)","NY.GDP.MKTP.CD","71104919108.1411",
"Latvia","LVA","GDP (current US$)","NY.GDP.MKTP.CD","34117202555.0666",
"Macao SAR, China","MAC","GDP (current US$)","NY.GDP.MKTP.CD","53859116535.5306",
"St. Martin (French part)","MAF","GDP (current US$)","NY.GDP.MKTP.CD","",
"Morocco","MAR","GDP (current US$)","NY.GDP.MKTP.CD","118725279596.13",
"Monaco","MCO","GDP (current US$)","NY.GDP.MKTP.CD","",
"Moldova","MDA","GDP (current US$)","NY.GDP.MKTP.CD","11955435456.7957",
"Madagascar","MDG","GDP (current US$)","NY.GDP.MKTP.CD","14083906356.618",
"Maldives","MDV","GDP (current US$)","NY.GDP.MKTP.CD","5729248472.24028",
"Middle East & North Africa","MEA","GDP (current US$)","NY.GDP.MKTP.CD","3701386017855.84",
"Mexico","MEX","GDP (current US$)","NY.GDP.MKTP.CD","1258286717124.53",
"Marshall Islands","MHL","GDP (current US$)","NY.GDP.MKTP.CD","",
"Middle income","MIC","GDP (current US$)","NY.GDP.MKTP.CD","32165979692375.4",
"North Macedonia","MKD","GDP (current US$)","NY.GDP.MKTP.CD","12694823394.0947",
"Mali","MLI","GDP (current US$)","NY.GDP.MKTP.CD","17510141171.3403",
"Malta","MLT","GDP (current US$)","NY.GDP.MKTP.CD","14786156563.3046",
"Myanmar","MMR","GDP (current US$)","NY.GDP.MKTP.CD","76085852617.1371",
"Middle East & North Africa (excluding high income)","MNA","GDP (current US$)","NY.GDP.MKTP.CD","",
"Montenegro","MNE","GDP (current US$)","NY.GDP.MKTP.CD","5494736901.03",
"Mongolia","MNG","GDP (current US$)","NY.GDP.MKTP.CD","13852850259.4854",
"Northern Mariana Islands","MNP","GDP (current US$)","NY.GDP.MKTP.CD","",
"Mozambique","MOZ","GDP (current US$)","NY.GDP.MKTP.CD","14934159925.5234",
"Mauritania","MRT","GDP (current US$)","NY.GDP.MKTP.CD","7593752450.2055",
"Mauritius","MUS","GDP (current US$)","NY.GDP.MKTP.CD","14180444557.2047",
"Malawi","MWI","GDP (current US$)","NY.GDP.MKTP.CD","7666704427.00915",
"Malaysia","MYS","GDP (current US$)","NY.GDP.MKTP.CD","364701517787.844",
"North America","NAC","GDP (current US$)","NY.GDP.MKTP.CD","23117758029454.2",
"Namibia","NAM","GDP (current US$)","NY.GDP.MKTP.CD","12366527719.3322",
"New Caledonia","NCL","GDP (current US$)","NY.GDP.MKTP.CD","",
"Niger","NER","GDP (current US$)","NY.GDP.MKTP.CD","12928145120.0296",
"Nigeria","NGA","GDP (current US$)","NY.GDP.MKTP.CD","448120428858.769",
"Nicaragua","NIC","GDP (current US$)","NY.GDP.MKTP.CD","12520915291.1837",
"Netherlands","NLD","GDP (current US$)","NY.GDP.MKTP.CD","909070395160.783",
"Norway","NOR","GDP (current US$)","NY.GDP.MKTP.CD","403336363636.364",
"Nepal","NPL","GDP (current US$)","NY.GDP.MKTP.CD","30641380604.2984",
"Nauru","NRU","GDP (current US$)","NY.GDP.MKTP.CD","118223430.124446",
"New Zealand","NZL","GDP (current US$)","NY.GDP.MKTP.CD","206928765543.935",
"OECD members","OED","GDP (current US$)","NY.GDP.MKTP.CD","53581268885788.8",
"Oman","OMN","GDP (current US$)","NY.GDP.MKTP.CD","76983094928.4785",
"Other small states","OSS","GDP (current US$)","NY.GDP.MKTP.CD","438468157980.326",
"Pakistan","PAK","GDP (current US$)","NY.GDP.MKTP.CD","278221906022.841",
"Panama","PAN","GDP (current US$)","NY.GDP.MKTP.CD","66800800000",
"Peru","PER","GDP (current US$)","NY.GDP.MKTP.CD","226848050819.525",
"Philippines","PHL","GDP (current US$)","NY.GDP.MKTP.CD","376795508679.676",
"Palau","PLW","GDP (current US$)","NY.GDP.MKTP.CD","",
"Papua New Guinea","PNG","GDP (current US$)","NY.GDP.MKTP.CD","24969611434.7684",
"Poland","POL","GDP (current US$)","NY.GDP.MKTP.CD","592164400687.607",
"Pre-demographic dividend","PRE","GDP (current US$)","NY.GDP.MKTP.CD","1391261013601.99",
"Puerto Rico","PRI","GDP (current US$)","NY.GDP.MKTP.CD","104988600000",
"Korea, Dem. People’s Rep.","PRK","GDP (current US$)","NY.GDP.MKTP.CD","",
"Portugal","PRT","GDP (current US$)","NY.GDP.MKTP.CD","237686075634.698",
"Paraguay","PRY","GDP (current US$)","NY.GDP.MKTP.CD","38145288939.8488",
"West Bank and Gaza","PSE","GDP (current US$)","NY.GDP.MKTP.CD","",
