"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2019",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","19291104007.8299",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","88815697793.303",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","15279183289.9372",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","3154057987.23833",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","2817414584665.11",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","421142267937.65",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","445445177459.426",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","13672802157.8324",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","1661962962.96296",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","1396567014733.23",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","445075391688.156",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","48047647058.8235",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","3012334881.64057",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","533097455834.509",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","14390709094.9386",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","15990803569.9961",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","302571254131.135",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","68558815111.6199",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","38574069148.9362",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","13578800000",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","20164193806.88",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","63080457022.6599",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","1879613600",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","7484113000",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","40895322843.7851",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","1839758040765.62",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","5209000000",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","13469422958.5105",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","2530547157.56678",
"Botswana","BWA","GDP (current US$)","NY.GDP.MKTP.CD","18340480936.0444",
"Central African Republic","CAF","GDP (current US$)","NY.GDP.MKTP.CD","2220307368.69593",
"Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD","1736425629519.96",
"Central Europe and the Baltics","CEB","GDP (current US$)","NY.GDP.MKTP.CD","1668851928931.89",
"Switzerland","CHE","GDP (current US$)","NY.GDP.MKTP.CD","703082435158.864",
"Channel Islands","CHI","GDP (current US$)","NY.GDP.MKTP.CD","",
"Chile","CHL","GDP (current US$)","NY.GDP.MKTP.CD","282318159744.65",
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","14342903006431.3",
"Cote d'Ivoire","CIV","GDP (current US$)","NY.GDP.MKTP.CD","58539424929.7248",
"Cameroon","CMR","GDP (current US$)","NY.GDP.MKTP.CD","39007354359.2798",
"Congo, Dem. Rep.","COD","GDP (current US$)","NY.GDP.MKTP.CD","50400746171.4239",
"Congo, Rep.","COG","GDP (current US$)","NY.GDP.MKTP.CD","12267392146.5888",
"Colombia","COL","GDP (current US$)","NY.GDP.MKTP.CD","323615979418.651",
"Comoros","COM","GDP (current US$)","NY.GDP.MKTP.CD","1165839927.06327",
"Cabo Verde","CPV","GDP (current US$)","NY.GDP.MKTP.CD","1981845740.35828",
"Costa Rica","CRI","GDP (current US$)","NY.GDP.MKTP.CD","61801385049.0716",
"Caribbean small states","CSS","GDP (current US$)","NY.GDP.MKTP.CD","77721714917.8506",
"Cuba","CUB","GDP (current US$)","NY.GDP.MKTP.CD","",
"Curacao","CUW","GDP (current US$)","NY.GDP.MKTP.CD","3101787709.49721",
"Cayman Islands","CYM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Cyprus","CYP","GDP (current US$)","NY.GDP.MKTP.CD","24948935408.0376",
"Czech Republic","CZE","GDP (current US$)","NY.GDP.MKTP.CD","250680504529.647",
